domain	country	A	NS	CNAME	MX	TXT
helentcrafts.co.uk			ns1075.ui-dns.de,ns1075.ui-dns.biz,ns1075.ui-dns.org,ns1075.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
helenterryart.co.uk	US	198.49.23.145,198.185.159.144,198.49.23.144,198.185.159.145	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.helenterryart.co.uk', 'priority': 10}	
iceongo.uk	US	206.188.193.110	dns010.d.register.com,dns242.b.register.com,dns248.a.register.com,dns152.c.register.com		{'exchange': 'mx07.register.com', 'priority': 10}	v=spf1 ?include:custspf.register.com
helenthayersltd.co.uk	US	192.0.78.25,192.0.78.24	ns3.wordpress.com,ns2.wordpress.com,ns1.wordpress.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
iceplc.uk	GB	185.182.89.168	ns3173.dns.dyn.com,ns4157.dns.dyn.com,ns1134.dns.dyn.com,ns2181.dns.dyn.com	www.iceplc.com	{'exchange': 'cluster4.eu.messagelabs.com', 'priority': 10},{'exchange': 'cluster4a.eu.messagelabs.com', 'priority': 20},{'exchange': 'iceplc-com.mail.protection.outlook.com', 'priority': 100}	v=spf1 mx a ip4:95.131.217.128/28 ip4:195.171.114.16/28 ip4:79.77.56.178/32 ip4:46.37.181.141/32 ip4:31.221.40.57/32 ip4:212.100.228.53 include:spf.medocmall.co.uk include:spf.messagelabs.com include:mail.medoc.co.uk include:emailsrvr.com include:spf.prot,ection.outlook.com -all
helenthedoodler.co.uk	US	23.236.62.147	ns14.wixdns.net,ns15.wixdns.net		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
icesculptor.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helentickner.co.uk	GB	94.136.40.51	ns.hosteurope.com,ns2.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helentodd.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iceworx.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
icfi.uk	US	199.223.22.145	NS2.101DOMAIN.COM,NS5.101DOMAIN.COM,NS1.101DOMAIN.COM		{'exchange': 'mail.101domain.com', 'priority': 10}	
helentravis.co.uk	GB	91.136.8.130	ns2.meganameservers.eu,ns3.meganameservers.eu,ns1.meganameservers.eu		{'exchange': 'mx1c51.megamailservers.eu', 'priority': 10},{'exchange': 'mx2c51.megamailservers.eu', 'priority': 100}	
icfo.uk	GB	77.68.64.7	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.icfo.uk', 'priority': 10}	
helentucker.co.uk	NL	146.0.78.176	us-dns.mercury.orderbox-dns.com,us-dns.mars.orderbox-dns.com,us-dns.venus.orderbox-dns.com,us-dns.earth.orderbox-dns.com			
icfudge.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helentugwell.co.uk	GB	81.27.85.19	ns2.easy-internet.co.uk,ns1.easy-internet.co.uk		{'exchange': 'helentugwell.co.uk', 'priority': 0}	v=spf1 +a +mx +ip4:81.27.85.19 ~all
icgsupport.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helentunnicliffecounsellingservice.co.uk	US	23.236.62.147	ns14.wixdns.net,ns15.wixdns.net		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
ichallengeme.uk			ns1.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
helenurwin.co.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk			
icharta.uk	US	192.124.249.11	dns104.ovh.net,ns104.ovh.net		{'exchange': 'redirect.ovh.net', 'priority': 1}	v=spf1 include:mx.ovh.com ~all
helenvaughanjones.co.uk	US	143.95.238.62	ns2.webserversystems.com,ns1.webserversystems.com		{'exchange': 'helenvaughanjones.co.uk', 'priority': 0}	
ichbindave.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk			
helenvickerman.co.uk	GB	94.136.40.51	ns.hosteurope.com,ns2.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
ichefrecruitment.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenvineactress.co.uk	GB	185.119.173.133	ns1.tsohost.co.uk,ns2.tsohost.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	v=spf1 a mx include:gridhost.co.uk ip4:95.142.156.0/24 ip4:195.62.28.0/23 ~all
ichelmsford.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenvoysey.co.uk	US	199.34.228.59	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenwalkerhewitt.co.uk	DE	217.160.231.116	ns1086.ui-dns.de,ns1086.ui-dns.org,ns1086.ui-dns.com,ns1086.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
evolvebiologics.uk	US	199.73.55.35	ns2.101domain.com,ns5.101domain.com,ns1.101domain.com			
helenwatson-photography.co.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk			
evolvecomputing.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenwattsauthor.co.uk	GB	88.208.252.9	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.helenwattsauthor.co.uk', 'priority': 10}	
evolvefirewall.uk	GB	51.141.230.230	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenwaygoodartist.co.uk	GB	94.136.40.90	ns.hosteurope.com,ns2.hosteurope.com		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
evolvefitonline.uk	US	67.225.248.251	ns.liquidweb.com,ns1.liquidweb.com		{'exchange': 'evolvefitonline.uk', 'priority': 10}	
helenweb.co.uk	DE	217.160.231.243	ns1089.ui-dns.com,ns1089.ui-dns.org,ns1089.ui-dns.biz,ns1089.ui-dns.de		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
evolvelove.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenwhittaker.co.uk	GB	62.233.121.5	ns1.namecity.com,ns2.namecity.com			
helenwhittlesea.co.uk	DE	217.160.122.1	ns1093.ui-dns.org,ns1093.ui-dns.com,ns1093.ui-dns.de,ns1093.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
helenwilkins.co.uk	GB	81.27.92.71	ns4.freeola.net,ns3.freeola.net		{'exchange': 'mx1.freeola.net', 'priority': 10},{'exchange': 'mx3.freeola.net', 'priority': 10},{'exchange': 'mx2.freeola.net', 'priority': 10}	v=spf1 include:spf.freeola.net ~all
evolvewithdelta.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
evolving.uk	US	162.220.9.7	pns1.dnmanager.com,pns2.dmanager.com			
helenworrall.co.uk	SG	188.166.190.0,216.239.34.21,216.239.38.21,216.239.36.21,216.239.32.21	ns2.domaindiscount24.net,ns1.domaindiscount24.net,ns3.domaindiscount24.net		{'exchange': 'aspmx3.googlemail.com', 'priority': 10},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'aspmx2.googlemail.com', 'priority': 10},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5}	google-site-verification=mNppHHE10t99pw5GwaCgdOYR-vqsGkgs0x2uwm7XztI
evolvingnetworks.uk	GB	109.228.22.178	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk			
helenwright.co.uk	US	207.174.213.34	ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk		{'exchange': 'ffe735f784610f47ad14583b04b35d.pamx1.hotmail.com', 'priority': 0},{'exchange': 'ffe735f784610f47ad14583b04b35d.pamx1.hotmail.com', 'priority': 10}	v=spf1 include:hotmail.com ~all
helenwyercoaching.co.uk	GB	46.23.69.44	dns1.uk2.net,dns2.uk2.net,dns3.uk2.net		{'exchange': 'mx.helenwyercoaching.co.uk.cust.a.hostedemail.com', 'priority': 0}	
evomotorsport.uk	GB	79.170.40.4	ns2.heartinternet.uk,ns.heartinternet.uk		{'exchange': 'mail.evomotorsport.uk', 'priority': 10}	
helenyoga.co.uk	US	160.153.16.19	ns47.domaincontrol.com,ns48.domaincontrol.com		{'exchange': 'mail.helenyoga.co.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
etints.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ewanmain.uk	US	216.172.168.12	ns2.bluehost.com,ns1.bluehost.com		{'exchange': 'in2-smtp.messagingengine.com', 'priority': 20},{'exchange': 'in1-smtp.messagingengine.com', 'priority': 10}	v=spf1 include:spf.messagingengine.com -all
ewanmccormick.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
ewantaylor.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ewarehouses.uk	GB	62.233.121.61	ns2.namecity.com,ns1.namecity.com			
ichrono.uk	GB	85.233.160.22	ns2.reg365.net,ns0.reg365.net,ns1.reg365.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ichse.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
ewb-consulting.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
ichthus.uk	US	162.220.9.7	pns2.dmanager.com,pns1.dnmanager.com			
icilondon.uk	GB	109.203.126.114	ns1796.eukns.com		{'exchange': 'icilondon.uk', 'priority': 0}	v=spf1 +a +mx +ip4:109.203.126.114 +ip4:109.203.102.104 ~all
icinglondon.uk	PL	185.208.164.130	ns2.hekko.net.pl,ns1.hekko.net.pl		{'exchange': 'mail.icinglondon.uk', 'priority': 10}	v=spf1 a mx include:spf.hekko.pl -all
ewealthsecrets.uk	US	108.167.160.38	ns107.ehosts.com,ns108.ehosts.com		{'exchange': 'mail.ewealthsecrets.uk', 'priority': 0}	v=spf1 +a +mx +ip4:108.167.160.34 +include:websitewelcome.com ~all
ewealthuniversity.uk	US	108.167.160.38	ns108.ehosts.com,ns107.ehosts.com		{'exchange': 'mail.ewealthuniversity.uk', 'priority': 0}	v=spf1 +a +mx +ip4:108.167.160.34 +include:websitewelcome.com ~all
icj.uk	US	45.33.14.247	ns30.domaincontrol.com,ns29.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
ewharlowaccountants.uk	GB	85.233.160.22	roxy.ns.cloudflare.com,max.ns.cloudflare.com		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	ca3-06edb762f9d040c3aec69f8117adf1ae
ewhs.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
icklegames.uk	GB	46.23.69.44	dns2.uk2.net,dns1.uk2.net,dns3.uk2.net		{'exchange': 'mx.icklegames.uk.cust.a.hostedemail.com', 'priority': 0}	
ewhurstwindowcleaners.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ewillsscotland.uk			ns1.interdns.co.uk,ns2.interdns.co.uk			
ewinphotography.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ewinsaerial.uk	DE	217.160.0.172	ns1029.ui-dns.com,ns1029.ui-dns.biz,ns1029.ui-dns.org,ns1029.ui-dns.de		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
ewiprowales.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iclasswork.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iclect.uk	DE	217.160.223.25	ns1021.ui-dns.com,ns1021.ui-dns.biz,ns1021.ui-dns.de,ns1021.ui-dns.org		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
ewsm.uk	FR	37.187.7.109	ns-91-a.gandi.net,ns-220-b.gandi.net,ns-226-c.gandi.net		{'exchange': 'spool.mail.gandi.net', 'priority': 10},{'exchange': 'fb.mail.gandi.net', 'priority': 50}	
iclimousines.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ex-heat.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ex-motabilitycarslondon.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iclip-stand.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
etoursarabia.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iclondon-theo2.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
etoursf1.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
etoursjapan.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
icloudtunes.uk	GB	94.126.40.154	ns2.lcn.com,ns1.lcn.com,ns0.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
iclronline.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
etourskorea.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
icls.uk	DK	46.30.215.181	ns02.one.com,ns01.one.com		{'exchange': 'mx2.pub.mailpod6-cph3.one.com', 'priority': 10},{'exchange': 'mx3.pub.mailpod6-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod6-cph3.one.com', 'priority': 10}	
etovtechnologies.uk	US	52.27.255.32,52.18.2.182,52.3.64.143	dns3.ipmanagerinc.net,dns1.ipmanagerinc.net,dns2.ipmanagerinc.net			v=spf1 -all
icm-ltd.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
exagle.uk	US	184.168.221.38	ns65.domaincontrol.com,ns66.domaincontrol.com			
icm-mm.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
etr-activities.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
icmc-callummark2.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
etransfers.uk	GB	89.187.86.205	ns1.3dweb.co.uk,ns2.3dweb.co.uk		{'exchange': 'void.blackhole.mx', 'priority': 25}	
icmotorcars.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
examsandtutors.uk	GB	94.126.40.154	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
etsw.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
examtablehire.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
etsy.uk	US	35.190.25.237	ns-158.awsdns-19.com,ns-803.awsdns-36.net,ns-1053.awsdns-03.org,ns-1937.awsdns-50.co.uk			v=spf1 include:etsy.com -all
icnarc.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
etsydream.uk	DE	217.160.0.78	ns1016.ui-dns.biz,ns1062.ui-dns.org,ns1101.ui-dns.com,ns1111.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
exanecable.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
ettalpg.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
exantia.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
exasolxperience.uk	DE	213.95.129.161	dns01.exasol.com,dns02.exasol.com,dns03.exasol.com		{'exchange': 'mail01.exasol.com', 'priority': 10}	
icnetworkco.uk	DE	185.53.179.8	ns2.parkingcrew.net,ns1.parkingcrew.net			
exaudite.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ico2ipo.uk	US	50.63.202.60	ns30.domaincontrol.com,ns29.domaincontrol.com			
exburyhomesltd.uk	US	162.215.252.78	mangomedia.mars.orderbox-dns.com,mangomedia.earth.orderbox-dns.com,mangomedia.venus.orderbox-dns.com,mangomedia.mercury.orderbox-dns.com			
icoark.uk	NO	185.134.245.113	ns3.hyp.net,ns1.hyp.net,ns2.hyp.net			v=spf1 -all
ettindustries.uk	US	23.236.62.147,216.239.32.101	ns0.wixdns.net,ns1.bdm.microsoftonline.com,ns2.bdm.microsoftonline.com,ns3.bdm.microsoftonline.com,ns4.bdm.microsoftonline.com		{'exchange': 'ettindustries-uk.mail.protection.outlook.com', 'priority': 0}	mscid=GuqLPagf1zmCzWq70jYg7bfX98gFL/N2cXaYOXAe8gM++86OVVKhDYlRME6UZQD+I06uVxTqjboxKeKwaFwoBw==
etude.uk	FR	213.186.33.5	ns11.ovh.net,dns11.ovh.net		{'exchange': 'redirect.ovh.net', 'priority': 1}	
excavationscontractorsyorkshire.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
etudessup.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk			
excavator-tuning.uk	DE	153.92.200.37	ns2.dasflaggschiff.de,ns1.dasflaggschiff.de		{'exchange': 'excavator-tuning.uk', 'priority': 10}	
eturismo.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
exceednumbers.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
etutors.uk	US	23.236.62.147	ns13.wixdns.net,slv2.1and1.co.uk		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
etwebdesigns.uk	US	160.153.133.159	ns58.domaincontrol.com,ns57.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
eu-hands-off-biking.uk	GB	46.23.69.44	dns3.uk2.net,dns1.uk2.net,dns2.uk2.net		{'exchange': 'mx.eu-hands-off-biking.uk.cust.a.hostedemail.com', 'priority': 0}	
icodes.uk	GB	213.246.110.153	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'mail.icodes.uk', 'priority': 10}	
icodesolutions.uk	GB	109.68.33.64	ns1.domainhasexpired.com,ns2.domainhasexpired.com		{'exchange': 'mail.b-io.co', 'priority': 5}	v=spf1 -all
eu-referendum.uk	FR	51.254.204.144	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mail.protonmail.ch', 'priority': 10}	protonmail-verification=061b2f2204a71c076fce70e965bacf7c1c290059
icodia.uk			ns2.icodia.com,ns3.icodia.com,ns.icodia.com		{'exchange': 'mailbak.icodia.com', 'priority': 30},{'exchange': 'mail.icodia.com', 'priority': 10}	
icohear.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
euagenda.uk	IE	5.39.30.124	ns2.euagenda.com,ns1.euagenda.com		{'exchange': 'euagenda.eu', 'priority': 0}	
icohere.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
excellance.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
excellcleaningservices.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
excellenceinmeetings.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
icommerce.uk	GB	185.119.173.209	ns2.vidacloud.co.uk,ns1.vidacloud.co.uk		{'exchange': 'ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ASPMX3.GOOGLEMAIL.COM', 'priority': 30},{'exchange': 'ALT1.ASPMX.L.GOOGLE.COM', 'priority': 20},{'exchange': 'ASPMX2.GOOGLEMAIL.COM', 'priority': 30},{'exchange': 'ALT2.ASPMX.L.GOOGLE.COM', 'priority': 20}	google-site-verification=fUnCQVlMh7UFCDfVNWBxQa6IkIUBNfNNb0wcZXvykbQ
excellenceintherapy.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
icompany.uk	US	72.52.4.119	ns2.sedoparking.com,ns1.sedoparking.com		{'exchange': 'localhost', 'priority': 0}	v=spf1 ip6:fd92:59f3:510e::/48 -all
excellencia.uk	US	162.144.202.34	ns2.cdir.org.uk,ns1.cdir.org.uk		{'exchange': 'mail.excellencia.uk', 'priority': 0}	v=spf1 +a +mx +ip4:162.214.10.182 +include:bluehost.com ~all
excellentcards.uk	DE	159.69.42.212,159.69.83.207	ns1.trafficclub.com,ns2.trafficclub.com,ns3.trafficclub.com			1CA5DA2235A0D5074A4C2B5C02FFF9F9
excellentideas.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk			
excells.uk	GB	188.65.115.136	ns2.srv2.com,ns.srv2.com		{'exchange': 'excells.uk', 'priority': 0}	
excellscales.uk	US	50.63.202.34	ns64.domaincontrol.com,ns63.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
excelpneumatics.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
icon-sport.uk	PL	87.98.239.5	ns200.anycast.me,dns200.anycast.me		{'exchange': 'redirect.ovh.net', 'priority': 1}	1|www.icon-sport.uk
excelsiorclothing.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
